facility name,physical address,city
Makoni Dental Clinic,Stand 19613Makoni,Chitungwiza
Makoni Dental Services,Stand 16128 Unit G Shop 6,Chitungwiza
Makoni Dental Surgery,16090 Unit K,Chitungwiza
Makoni Family Care Centre Surgery,29883 Unit Gmakoni,Chitungwiza
Makoni Family Clinic,19613Unit Gseke,Chitungwiza
Makoni Family Surgery,16090 Unit Gseke,Chitungwiza
Makoni Medical Services,Stand 16128Unit G,Chitungwiza
Makoni Medicare -Dr Ngwarati,16114 Unit Gmakoni Shopping Centre,Chitungwiza
Makoni Rdc-Nzvimbe Clinic,Ward 31Makoni Rural District Council,Rushinga
Makoni Surgery,106 Mandava,Zvishavane
Makoni Surgery,"Stand Number 29885, Unit G Makoni Shopping Centre",Chitungwiza
Makumbe District Hospital,46Km Along Domboshava Road,Domboshava
Makura Surgery - Mberengwa,Shalom Complex Bag 15 Kushinga Yorks B/C,Mberengwa
Makurira Memorial Clinic,7 Simon Muzenda Street,Masvingo
Malachi Medical Centre,Number 4 Robert Mugabe Way,Bulawayo
Malachi Medical Laboratory,4 Robert Mugabe Way,Bulawayo
Malasha Pharmacy,23 Coronation Drive,Hwange
Malcom Health Care Clinic,26336Kaguvi 3,Chegutu
Maleeka Medical Centre - Bulawayo,39 J Tongogara,Bulawayo
Malilangwe Trust Clinic,Lone Star Branch,Chiredzi
Malnaught Pharmacy,Smes Q62 Kamoyo Complex,Glendale
Malnaught Pharmacy,5073 Lot 2 Makwasha,Zvishavane
Malnaught Pharmacy-Glendale,Smes Q62Kamoyo Complex,Glendale
Mambomed Pharmacy,Room 14 Number 71 Continental Plaza 6Th Street,Gweru
Mana Pools Clinic,Mana Pools National Parks,Karoi
Manama Mission Hospital,Manama Parish,Gwanda
Manat Pharmaceuticals,4045 Jabavu Drive,Harare
Manatsa Radiology (Pvt) Ltd,53 4Th Street,Mutare
Mandara Manor Wellness Centre,9Tiptol Closemandara,Harare
Mandara Minor,9 Tiptol Close,Harare
Mandava Pharmacy,1203 Light Industry Site,Zvishavane
Mandipa Hope Drug Rehabilitation Centre,31Pringle Roadmandara,Harare
Mandovha Dental Surgery,2 Calenstel Courtcnr 11Th Ave/ S. Parirenyatwa Street,Bulawayo
Mangiza Paediatrics Surgery,123 Baines Avenue,Harare
Mangwe Rdc-Maninji Rural Health Centre,Maninji Ward 8Sindisa Village,Plumtree
Manhenga Pharmacy,"613 Manhenga, Business Centre",Bindura
Manica Boards & Doors Industrial Clinic,Number 5 St Helen'S Drivenyakamete,Mutare
Manica Hospital,327 Umtali Townshipnumber 99 First Street,Mutare
Manica Optical Centre,10 Bhadella Arcade 91,Mutare
Manica Pharmacy,Shop 5Fidelity Building,Mutare
Manicaland Medical & Maternity Centre,Suite 28 - 123 Herbert Chitepo,Mutare
Manicaland Medical And Maternity Centre,Suite 29 - 123 Herbert Chitepo,Mutare
Manicaland State University Of Applied Sciences Clinic,Number 1 Stair Guthrie Roadfernhill,Mutare
Mankind Clinic,Flat 2The Ambrose Place86 Josiah Chinamano Avenue,Harare
Mankind Clinic,2749 Nyakambiri Streetglen Norah,Harare
Manresa Way Medical Centre,139 Manresa Waynew Mabvuku,Harare
Manyame Airforce Base Hospital,Manyame Airforce Base Hospital,Harare
Manyame Medical Centre - Xray,5821St Mary'S,Chitungwiza
Manyame Park Dental Clinic,Stand Number 5821 St Mary'S,Chitungwiza
Manyame Park Medical & Maternity Centre,Stand 5821,Chitungwiza
Manyame Rural District Council Bwoni Clinic,Stand Number 34,Beatrice
Manyara Surgery-Zvishavane Surgery,1St Floor Acropol Buildingr.G Mugabe,Zvishavane
Manyuchi Clinic,Stand Number 40278 Simbarashe Closebelvedere,Harare
Manzini Surgery,645 Bekekela,Filabusi
Mapako Rural Health Centre,Mapako Business Centrenyabunje Ward 18,Nyanga
Mapamba Clinic,1071 Homeownershipdangamvura,Mutare
Maphisa Rdc-Beula Rural Health Center,Stand 9490Antelope Hospital P.Bag 5750,Bulawayo
Maphisa Rdc-Homestead Rural Health Center,Stand 8231Antelope Hospital P.Bag 5750,Bulawayo
Maphisa Rdc-Sankonjane Rural Health Center,Stand 8206Antelope Hospitalbag 5750,Matobo
Maponga Surgery,15219Industrial Site,Chinhoyi
Mapurisa Dental Surgery,Stand Number 5336David Guzuzu Avenue,Chinhoyi
Maqhawe Clinic - Byo City,Nkulumane Suburb,Bulawayo
Maranatha Medical Centre,126-4Th Roadwarren Park 1,Harare
Maranatha Medical Centre - Dental,126 4Th Avenuewarren Park 1,Harare
Maranatha Medical Surgery,Makwarimba Buildingnemamwa Growth Point,Masvingo
Maranatha Surgery,"15304 - 7Th Crescent, Sunningdale 2",Harare
Maranatha Surgery,106 Corner 4Th & Nelson Mandela,Harare
Marbles Pharmacy,606 Charles Street,Chegutu
Margie Gibson And Associates,35Bkingsmed Road Westborrowdale,Harare
Marigold Dental Surgery,7437 Mkoba 6 Shopping Centre,Gweru
Marilabs Medical Laborarories,3897Nhoro Roadnharira View,Norton
Mariland Medical Centre - X-Ray Unit,3897 Nhoro Roadnharira View,Norton
Mariland Medical Centre And Maternity Home,"3897 Nhoro Road, Nharira View",Norton
Mariland Medical Centre And Maternity Home,3897 Nhoro Roadnharira View,Norton
Marimba Medical Centre,"Shop 4, Marimba Shopping Centre, Samora Machel Avenue West",Harare
Marimba Pharmacy,Shop 11 Marimba Shopping Centrebelvedere,Harare
Markbright Clinical Laboratories,143 Cornmarket Cresentnorton Town Centre,Norton
Marlborough Medical Centre,16Woodhall Roadmalborough,Harare
Marlborough Medical Surgery,Suite 12 Civic Centremarlborough,Harare
Marondera Medical Centre Pharmacy,21382Nd Street,Marondera
Marondera Medical Dental & Diagnostic Clinic,2138 Second Street,Marondera
Marondera Medical Dental Diagnostics Centre,2138 Second Street,Marondera
Marondera Municipality - Dombotombo Clinic,1 Nungu Roadchitepo Shopping Centre,Marondera
Marondera Polyclinic,Stand Number 44011 Nguboyenja Luveve,Bulawayo
Marondera Provincial Hospital,Stand 1904Th Streetwinston Park,Marondera
Marondera Rdc-Border Church Rural Health Centre,Border Church Townshipc/O Box 20,Marondera
Marondera Rdc-Chimbwanda Rural Health Centre,Chimbwanda West Small Scale Farming Areac/O Box 20,Marondera
Marondera Rdc-Chiparahwe Clinic,Plot 2Chiparawe Farm,Marondera
Marondera Rdc-Dimbiti Rural Health Centre,Svosve Resettlement Areac/O Box 20,Marondera
Marondera Rdc-Igava Clinic,9999 Igava Roadbox 108,Marondera
Marondera Rdc-Kushinga Phikelela Rural Health Center,Kushinga Phikelela Tech Collegebox 3716,Marondera
Marondera Rdc-Lustleigh Clinic,9999Sabi West Road,Marondera
Marondera Rdc-Masikana Clinic,3999 Masikanadhirihori,Marondera
Marondera Rdc-Mobile Clinic,4.5Km Pegnorth Road Officesbox 108,Marondera
Marondera Rdc-Mudzimurema Rural Health Center,Mudzimurema Kraalcio Box 20,Marondera
Marondera Rdc-Munamba Rural Health Center,Munamba Primary/Secondarybox 3822/627,Marondera
Marondera Rdc-Nyembanzvere Clinic,9999Igava Roadbox 108,Marondera
Marondera Rdc-Wenimbe Rural Health Centre,Ward 22Hauton Resettlement Areac/O Box 20,Marondera
Marondera University Of Agriculture Science And Technology,Svosveward 2240Km Along Ruzawi Road,Marondera
Mars Clinical Laboratories,17 Lezard Avenuemilton Park,Harare
Mars-Gweru,22 - 7Th Street,Gweru
Mary Ann Oncology,11 Bates Avenue / Coxwell Roadmilton Park,Harare
Mary Mother Of Hope Healthcare Pvt(Ltd)-St Annes Hospital,155 King George,Harare
Marymount Mission Hospital,Ward 4Chimungwariti Villagerushinga District,Rushinga
Masa Medical Centre,2258Kuwadzana 4,Harare
Masanga-Mutede Surgery,"Suite 8, First Floor Medical Centre123-125 Herbert Chitepo Street",Mutare
Masase Mission Hospital,Masase,Mberengwa
Mascassist Pharmacy,37 College Roadalexandra Park,Harare
Masenda Surgery,11 Main Street,Gweru
Mashambanhaka Mission Clinic,Mukuruanopamaenza Wardump District,Mutawatawa
Mashambanzou Care Trust,40 Sandown Roadwaterfalls,Harare
Mashambanzou Care Trust - Waterfalls,40 Sundowns Road Waterfalls,Harare
Mashavire Pharmacy,Stand 2996 Dulivhadzimu Township,Beitbridge
Mashfolks Pharmacy,"10491 Kuwadzana 5, Shopping Centre",Harare
Mashoko Christian Hospital,Mashoko Missionmatsaibikita,Masvingo
Mashoko Christian Hospital-Maranda Mission Clinic,Maranda Mission Clinic,Nyika
Mashonaland Tobacco Company,Number 4 Simon Mazorodze,Harare
Mashonaland Tobacco Company Auckland Road Clinic,15-17 Auckland Roadsoutherton,Harare
Mashonaland Tobacco Company Clinic,167Erith Roadwillowvale,Harare
Masimbe Surgery,24 Simon Mazorodze,Harare
Masinire Surgery,63 Hofemeyer St,Masvingo
Masmed Pharmacy,"9046 Amaveni Road, Globe And Phoenix",Kwekwe
Masunda Dental Surgery,No. 25 George Silundika,Harare
Masvingo 24 Hour Medical Laboratory,27278 Wood Apple Streetzimre,Masvingo
Masvingo 24Hr Medical Centre,27278 Wood Apple Roadzimre Park,Masvingo
Masvingo Diagnostic Centre,Number 46 Edison Zvobwo,Masvingo
Masvingo Diagnostic Centre-Gutu- Xray And Ultrasound Scans,3954 Mukushi Building Mupandawanagutu,Masvingo
Masvingo Emergency Clinic,76 Shuvai Mahofa Street,Masvingo
Masvingo New Start Centre,10 Hofmeyer Street,Masvingo
Masvingo New Start Centre,10 Hofmeyer Rd Corner J. Tongogara Avenue,Masvingo
Masvingo One Health Center,53 Robertson Avenue,Masvingo
Masvingo Polytech Clinic,Masvingo Polytech Opposite Flamboyant Along Beitbridge Road,Masvingo
Masvingo Provincial Hospital,75 Hay Robertson Street,Masvingo
Masvingo Rdc Mobile Clinic,P.O.Box 724,Masvingo
Masvingo Rdc-Bere Clinic,Bere Townshipmashava,Masvingo
Masvingo Rdc-Charumbira Clinic,Charumbira Clinicbox 724,Masvingo
Masvingo Rdc-Chatikobo Rural Health Clinic,Chatikobo Rural Health Clinicbox 724,Masvingo
Masvingo Rdc-Gundura Clinic,Gundura Clinicp.O.Box 724,Masvingo
Masvingo Rdc-Gurajena Rural Health Clinic,Gurajena Rural Health Clinicbox 114,Masvingo
Masvingo Rdc-Guwa Clinic,Guwa Clinicbox 724,Masvingo
Masvingo Rdc-Mapanzure Clinic,Mapanzure Rural Service Centerp.O.Box 724,Masvingo
Masvingo Rdc-Mukosi Rural Health Clinic,Box 663,Masvingo
Masvingo Rdc-Murinye Clinic,Murinye Clinicp.O.Box 724,Masvingo
Masvingo Rdc-Mushandike Rural Health Center,Cr6015P.O.Box 147,Masvingo
Masvingo Rdc-Musvosvi Rural Health Clinic,Mateza Villagebox 3019,Masvingo
Masvingo Rdc-Nemanwa Rural Health Center,Nemanwa Rural Health Center P.O.Box 147,Masvingo
Masvingo Rdc-Ngomahuru Clinic,P.Bag 9028,Masvingo
Masvingo Rdc-Nyikavanhu Clinic,Nyikavanhu Clinicp.O.Box 114,Masvingo
Masvingo Rdc-Rukovo Rural Clinic,Rukovo Clinicward 14,Masvingo
Masvingo Rdc-Shumba Rural Health Clinic,Mshumba Rural Health Clinicp.O.Box 724,Masvingo
Masvingo Rdc-Sumertone Rural Health Center,Sumertone Rural Health Center P.O.Box 147,Masvingo
Masvingo Rdc-Wendedzo Rural Health Clinic,Ward 32Wendedzo Area,Masvingo
Masvingo Rdc-Zano Clinic,Zano Clinicp.O.Box 724,Masvingo
Masvingo Rdc-Zimuto Clinic,Zimuto Rural Service Centerp.O.Box 724,Masvingo
Masvingo Rdc-Zvamahande Clinic,Zvamahande Clinicp.O.Box 724,Masvingo
Masvingo Renal And Dialysis,7 Hofmeyer St,Masvingo
Masvingo Royal Radiology,54 Robertson Street,Masvingo
Masvingo Royal Women'S Clinic,54 Robertson Street,Masvingo
Masvingo Women'S Clinical Laboratory,54Robertson Street,Masvingo
Mat 24 Medical Centre,Nbanga Business Centrezaka District,Masvingo
Mat Clinic Medical Centre,5112-108Th Streetwarren Park D,Harare
Mat Medical Center,Chivamba Business Centerzaka District,Zaka
Matambo Surgery,18 Lanark Roadbelgravia,Harare
Matclinic Oncology,17785 Watermeyer Drive,Harare
Mater Dei Hospital,Burns Drive,Bulawayo
Mater Dei Hospital,No. 1 Burns Drivemalindela,Bulawayo
Mater Dei Hospital Renal Unit,"Burns Drive ,Malindela",Harare
Mater Dei Physio Clinic,Burns Drive Malindela C/O Mater Dei Hospital,Bulawayo
Maternal & Child Health Care Centre(Byo),113 A J. Tongogara Street,Bulawayo
Maternal And Child Health Care Centre,113A Josiah Tongogara,Bulawayo
Maternity & Gynecology Clinic,"Shop 17, First Floor, Nssa Complex",Gwanda
Matherhurst Clinic - Dr Shumba,99 Josiah Chinamano,Harare
Matibi Mission Hospital,Matibi Mission Hospital,Masvingo
Matinhira Surgery,14565 Hadzinanhanda Roadzengeza 4,Chitungwiza
Matobo Rdc-Fumugwe Clinic,Fumugwe Clinicward 18,Matobo
Matobo Rdc-Hlekweni Clinic,Hlekweni Friends Service Centre,Matobo
Matongo Medical Surgery,182 Gurudzi Streetmatongo Shopping Centre,Harare
Matpath Clinical Laboratories,Stand Number 3207B Jongwe Streetchesvingo,Masvingo
Matramed Pharmacy-Chinhoyi,Shop 2Stand 11222Chinhoyi Township,Chinhoyi
Matrix Clinical Laboratories,13679 Zengeza 4,Chitungwiza
Matrix Clinical Laboratories,106B Nelson Mandela Avenue & Cnr 4Th Street,Harare
Matthew Rusike Children'S Home,Lot 2 Chirembaepworth,Harare
Maunganidze Health Clinic,Stand No. 64 Ardasanyati,Kadoma
Maunganidze Maternity Clinic,Stand Number 64 Arda Growth Point,Sanyati
Maunganidze Surgery - Baines,Suite 2152 Baines Avenue,Harare
Maureen Court Dental Surgery,No. 2 Maureen Court4Th Ave / J Nkomo,Bulawayo
Maurice Pharmacy,1245 Huggins Rd Old Luveve,Bulawayo
Mavetera T.Dr,224 Herbert Chitepo Ave,Harare
Mavilee Diagnostic Centre,"Suite 25, 2Nd Floor Medical Centre Josiah Tongogara & 8Th Avenue",Bulawayo
Mavurudza J.L - Dr,113 Sam Nujoma Street,Harare
Mawera. G. Surgery,11 Drayton Avenue,Harare
Mawire Surgery,10 Magamba Way,Chinhoyi
Maxi Health Pharmacy,"8722 Rufaro Building, Gazaland Shopshighfeilds",Harare
Maxivision Optometrist,68Dawson Road,Mvurwi
Maxivision Optometrists,Suite 3 Grayhurst Building102 Nelson Mandela Avenue,Harare
Mayisikume Medical Village,Number 14 - 7Th Street,Gweru
Mayisikume Medical Village Eye Unit,"Number 14, 7Th Street",Gweru
Mayisikume Medical Village Family Doctors,"No. 14, 7Th Street",Gweru
Mayisukume Dental Clinic,Number 14 Seventh Street,Gweru
Mazanhi Surgery,Stand 190 Mutawatawa,Murehwa
Maziso Optometrists,Shop 455 Fife Avenue,Harare
Mazoe Citrus Estates Clinic,Mazoe Citrus Estates,Mazowe
Mazowe Medical Centre Pharmacy,1339Mazowe Business Area,Mazowe
Mazowe Medical Clinic,1339Mazowe Business Centre,Mazowe
Mazowe Mine Clinic,Bag 2005Mazowe Mine,Mazowe
Mazowe Paediatric Hospital-Radiology,11Mazowe Street,Harare
Mazowe Rdc-Dambo Rural Health Center,Dambo Clinicbox 35Concession,Mazowe
Mazowe Rdc-Makope Clinic,Makope Clinicbox 35Concession,Mazowe
Mazowe Rdc-Tsungubvi Polyclinic,Tsungubvi Polyclinicbox 35Concession,Mazowe
Mbare Musika Dental Surgery,29629Farmers Markertmbare,Harare
Mbare Musika Dental Surgery,29629Farmers Marketmbare,Harare
Mbare Pharmacy,"Shop Number 8, Chaminuka Street",Harare
Mberengwa Medical Centre,45 Golden Park,Mberengwa
Mberengwa Rdc-Chaza Clinic,Ward 10Baradzamwa,Mberengwa
Mberengwa Rdc-Neta Clinic,Ward 36Neta,Mberengwa
Mbeure Family Clinic,Shop 12Mbeure Shopping Centre,Chipinge
Mbila Pharmacy-Binga,277,Binga
Mbizo 1 Clinic - Kwekwe City Council,Section 1Mbizo Townshipmbizo,Kwekwe
Mbizo 11 Clinic - Kwekwe City Council,Section 2 Mbizo Township,Kwekwe
Mbuma Mission Hospital,Nkayi Districtmatebeland North,Bulawayo
Mbuya Dorcas Hospital,"3631 Masotsha Ndlovu Drive, Prospect",Harare
Mbuya Dorcas Hospital Dental Surgery,3631 Masotsha Ndlovu Driveprospectwaterfalls,Harare
Mbuya Dorcas Hospital Dialysis Unit,3631Masotsha Ndlovu Drive Prospectwaterfalls,Harare
Mbuya Dorcas Hospital Lab,3831 Masotsha Ndlovu Waywaterfalls,Harare
Mbuya Dorcas Hospital Physiotherapy,3631 Masotsha Ndlovu Drive Waterfalls,Harare
Mbuya Maria Maternity Home,16Amilliford&6Th Avenue Parktown Waterfalls,Harare
Mbuya Ruth Memorial Clinic,Stand Number 1Nyatsime Phase 4,Chitungwiza
M-Care Pharmacy,"Shop 9, Samora Machel Arcade",Harare
M-Care Pharmacy,"Shop 7, 2 Tait Avenue",Harare
Mdengelele Rural Health Centre,Mdengelele Rural Health Centre,Nkayi
Meadowview Pvt Limited,Stand 1652 Amalinda Road,Harare
Meadowview Pvt Limited,Stand 11652 Amalinda Roadamalinda Road,Harare
Med Chip Pharmacy - Parktown,Shop 7 Parktown Shopping Centre,Harare
Med Express Pharmacy,Shop 2121/123 Harare Street,Harare
Med Healthcare Pharmacy,17272Phase 4Damafalls,Harare
Medaid Pharmacy,Stand Number 85 Tafara Waykamunhu Shopping Centremabvuku,Harare
Medalert Clinic,423 Simon Mazorodze Roadmalvern Shops,Harare
Medalert Clinic- Budiriro,3344 Budiriro 2Budiriro,Harare
Medaxis Pharmacy,63 Hofmeyer Street,Masvingo
Medbound Pharmacy,Stand Number 9727,Harare
Medbright Pharmacy,4292Machipisahighfields,Harare
Medbrooks Pharmacy,"5 Gelfand House, 56 Speke Avenue",Harare
Medbrooks Pharmacy,"Shop 2 Wetherby House, 55 N. Mandela Avenue",Harare
Medcare Pharmacy,"Shop 2, 41 Churchill Avenue",Harare
Medchain Pharmacy,745- 4Th Street Hatcliff,Harare
Med-Chem Pharmacy - Bulawayo,Shop 5E Parkade Centrecnr Fife St & 9Th Avenue,Bulawayo
Med-Chip Pharmacy,"247 Oak Street, The Green",Marondera
Med-Chip Pharmacy,11Rowland Squaremilton Park,Harare
Med-Chip Pharmacy-Ngezi,905 Turf Villagemhondoro,Ngezi
Medcity Clinical Laboratory,29 Lawson Avenuemilton Park,Harare
Medcity Dental Clinic,Stand Number 9369 Turf Business Centremhondoro,Ngezi
Medcrest Pharmacy Chinhoyi,264 Commercial Street,Chinhoyi
Medcrest Pharmacy Kariba,Stand 3485 Gorge Nyamhunga,Kariba
Medcrest Pharmacy Ngezi,5492 Turf Township,Mhondoro
Medcrest West Pharmacy,15219New Mileniumindustrial Site,Chinhoyi
Meddsol Pharmacy,Stand 22293 Kuwadzana 2,Kuwadzana
Meddsol Pharmacy,Stand 22293Kuwadzana 2,Harare
Medease Pharmacy,Shop 2 Mimosa House 9Th Avenue,Bulawayo
Medecins Sans Frontiers,26 Whytes Way,Harare
Medfy Pharmacy,17 6Th Street,Gweru
Medhub Clinic,12 Seignury Road,Chegutu
Medhub Women'S Clinic,1St Floor Msasa Building107 Herbert Chitepo Street,Mutare
Medhut Pharmacy,2 Hermes Courtcnr Lomagundi/ West Roadavondale,Harare
Medic Pharmacy,63012Atshabalala Shopstshabalala,Bulawayo
Medica Zone Alliance - Medical,Stand Number 7503 Coldstream,Chinhoyi
Medica Zone Alliance-Dental,Stand No. 7503Cold-Stream,Chinhoyi
Medical Air Rescue Services,36 Clarke Road,Victoria Falls
Medical Air Rescue Services,2 Fairbridge Avenue,Harare
Medical Air Rescue Services,42 Robert Mugabe Way,Bulawayo
Medical Air Rescue Services,22 - 7Th Street,Gweru
Medical Air Rescue Services - Kwekwe,Stanley House4Th Avenue,Kwekwe
Medical Air Rescue Services - Masvingo,6 Harding Street,Masvingo
Medical Air Rescue Services - Mutare,16 Murambi Drive,Mutare
Medical Air Rescue Services-Kariba,11Libuyo Streetheights,Kariba
Medical Centre - Dr Feliu,8Th Avenue / Josiah Tongogara Street,Bulawayo
Medical Centre Chemist Pharmacy,1192Chinotimba Township,Victoria Falls
Medical Centre Hippo Valley Estates,New Mill Complexhippo Valley Estates,Chiredzi
Medical Centre Pharmacy-Mutare,126H.Chitepo Street,Mutare
Medical Centre Zvishavane,"First Floor Acropol Surgery, Robert Mugabe",Zvishavane
Medical Chambers Dental Surgery-Dr Ndiweni,25Bmedical Centre8Th Avenue / J.Tongogara Street,Bulawayo
Medical Health Laboratories,13673 Zengeza 4,Chitungwiza
Medical Hub Healthcare,Stand 28001-1Shop P6Southwinds Shops,Harare
Medical Plaza Dental,86 Tsungubvi,Glendale
Medical Plaza- Glen View 3,9545 Glen View 3 Shopping Centreglen View,Harare
Medical Polyclinic - Dr. Gwata,91 Fife Avenue,Harare
Medical Services Clinic Nssa,Stand 1833477 Park Lane Way,Harare
Medical Specialists Centre-Eye Centre,Number 8Elseworth Road/2Nd Street Extensionbelgravia,Harare
Medical Surgery Dr. A.H Choudry,93 Fife Avenue,Harare
Medi-Care,Stand 3925 Shirihuru,Murewa
Medicare Clinic,Shop 4A Old Mutual House351 Chilonga Drive,Chiredzi
Medicare Clinical Laboratories,7 Denmark Avenuemilton Park,Harare
Medicare Diagnostics Laboratory,11125Chinhoyi Rank,Chinhoyi
Medicare Pharmacy - Gwanda,Shop 2Phumulani Complex,Gwanda
Medicare Surgery,Vintage Shopping Mallmakoni Shopping Centre,Chitungwiza
Medicentre Dental Practice,52 Baines Avenue,Harare
Medichoice Pharmacy,32548 Unit L Extensionseke,Chitungwiza
Medichoice Pharmacy,2446 Kambuzuma Section 3 Shopskambuzuma,Harare
Medicine Inc Specialist Centre ( Misc),31 Lincoln Road Avondalemilton Park,Harare
Medicine Shoppe Pharmacy,15 Baines Avenue,Harare
Medicine-Loft Pharmacy,"Shop 5, Gaydon Road",Harare
Medicity Clinical Laboratory,37 Victoria Drivenewlands,Harare
Medicity Clinical Laboratory Collection Point,27Baines Avenue,Harare
Medicity Laboratory,5513/15 Turf Business Centre,Ngezi
Medicity Ultrasound,Stand Number 551/15 Turf Business Centre,Mhondoro Ngezi
Medicive Pharmacy - Eastgate,"Shop Number 24, Ground Flooreastgate Mall",Harare
Medicive Pharmacy - Dzivarasekwa,3827Hp Energydzivarasekwa,Harare
Medicive Pharmacy Aspindale,1575Aspindale Park,Harare
Medicive Pharmacy-Avondale,5 Riverside Walk Mallavondale,Harare
Mediconnect Pharmaceuticals,Unit 6A And 6Bthe Doon Estate 5 Harrow Road,Harare
Medicorp Dental Surgery,28 Harvey Brown Avenue,Harare
Medicorp Paediatric Surgery,28 Harvey Brown Avenuemilton Park,Harare
Medicure,Number 13583Zengeza 3 Shopping Centre,Chitungwiza
Medigood Medical Centre,Eclipse Complexmanhenga,Bindura
Medihealth Pharmacy,47 Jmn Nkomo Street,Bulawayo
Medikit Pharmacy,"21499 Kuwadzana Township, Bulawayo Road",Harare
Medikit Pharmacy - Highfield,10239Thuli Service Stationwillowvale,Harare
Medimart Pharmacy,Lot 3Iron Mask,Mazowe
Medi-Mart Pharmacy,"82 Harare Street, 97 Donners Arcade, Harare",Harare
Medi-Mart Pharmacy,"97 Donners Arcade, 82 Harare Street",Harare
Medimart Pharmacy Redcliff,"Unit 1, 14098 Millenium Park",Redcliff
Medinsight Family Clinic,Shop 26491A Clyde Roadclyde Shopping Centre,Harare
